OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00554,CUST0222,5/1/2025,Greeting Card,4.44
ORDER00826,CUST0181,5/1/2025,Greeting Card,5.11
ORDER00224,CUST0085,5/2/2025,Poster,13.95
ORDER00810,CUST0130,5/2/2025,Business Card,9.96
ORDER00831,CUST0126,5/2/2025,Flyer,9.8
ORDER00467,CUST0145,5/3/2025,Photo Book,23.68
ORDER00397,CUST0210,5/4/2025,Business Card,10.48
ORDER00590,CUST0075,5/4/2025,Poster,13.47
ORDER00694,CUST0111,5/4/2025,Poster,14.49
ORDER00155,CUST0285,5/5/2025,Canvas Print,32.72
ORDER00205,CUST0229,5/5/2025,Canvas Print,45.42
ORDER00237,CUST0020,5/5/2025,Flyer,8.15
ORDER00566,CUST0210,5/5/2025,Greeting Card,5.91
ORDER00893,CUST0076,5/5/2025,Greeting Card,4.99
ORDER00033,CUST0005,5/6/2025,Photo Book,27.87
ORDER00090,CUST0130,5/6/2025,Flyer,8.01
ORDER00345,CUST0012,5/6/2025,Business Card,11.78
ORDER00006,CUST0138,5/7/2025,Poster,15.44
ORDER00457,CUST0047,5/7/2025,Poster,14.39
ORDER00035,CUST0062,5/8/2025,Poster,13.58
ORDER00080,CUST0228,5/8/2025,Greeting Card,5.46
ORDER00174,CUST0158,5/8/2025,Business Card,10.7
ORDER00399,CUST0016,5/8/2025,Canvas Print,34.07
ORDER00550,CUST0074,5/8/2025,Flyer,9.99
ORDER00651,CUST0217,5/8/2025,Business Card,9.83
ORDER00069,CUST0097,5/9/2025,Greeting Card,5.64
ORDER00347,CUST0101,5/9/2025,Photo Book,25.55
ORDER00652,CUST0289,5/9/2025,Greeting Card,5.45
ORDER00022,CUST0035,5/10/2025,Photo Book,21.38
ORDER00328,CUST0073,5/10/2025,Photo Book,28.63
ORDER00458,CUST0215,5/10/2025,Flyer,11.05
ORDER00542,CUST0046,5/10/2025,Business Card,12.84
ORDER00702,CUST0297,5/10/2025,Poster,14.17
ORDER00788,CUST0080,5/10/2025,Canvas Print,47.71
ORDER00905,CUST0282,5/10/2025,Greeting Card,4.67
ORDER00293,CUST0190,5/12/2025,Canvas Print,33.44
ORDER00613,CUST0271,5/12/2025,Canvas Print,46.44
ORDER00975,CUST0154,5/12/2025,Poster,14.31
ORDER00304,CUST0267,5/13/2025,Poster,16.2
ORDER00833,CUST0285,5/13/2025,Photo Book,25.84
ORDER00835,CUST0039,5/13/2025,Greeting Card,4.5
ORDER00418,CUST0239,5/14/2025,Canvas Print,38.65
ORDER00533,CUST0039,5/14/2025,Business Card,14.06
ORDER00713,CUST0238,5/15/2025,Canvas Print,34.88
ORDER00743,CUST0250,5/15/2025,Business Card,12.28
ORDER00182,CUST0175,5/16/2025,Poster,14.37
ORDER00220,CUST0007,5/16/2025,Photo Book,22.07
ORDER00231,CUST0002,5/16/2025,Greeting Card,5.81
ORDER00946,CUST0108,5/16/2025,Poster,15.32
ORDER00247,CUST0158,5/17/2025,Photo Book,20.94
ORDER00112,CUST0171,5/19/2025,Flyer,8.56
ORDER00235,CUST0195,5/19/2025,Greeting Card,4.71
ORDER00704,CUST0014,5/19/2025,Flyer,10.53
ORDER00073,CUST0086,5/20/2025,Flyer,8.12
ORDER00635,CUST0228,5/20/2025,Greeting Card,5.53
ORDER00751,CUST0246,5/20/2025,Photo Book,21.18
ORDER00908,CUST0154,5/20/2025,Business Card,13.73
ORDER00223,CUST0151,5/21/2025,Flyer,9.2
ORDER00666,CUST0161,5/21/2025,Photo Book,23.62
ORDER00977,CUST0068,5/21/2025,Poster,14.58
ORDER00474,CUST0089,5/22/2025,Business Card,12.68
ORDER00759,CUST0225,5/23/2025,Poster,15.75
ORDER00818,CUST0198,5/23/2025,Poster,15.57
ORDER00060,CUST0179,5/24/2025,Greeting Card,4.57
ORDER00574,CUST0227,5/24/2025,Photo Book,27.81
ORDER00134,CUST0117,5/25/2025,Flyer,11.41
ORDER00782,CUST0164,5/25/2025,Greeting Card,4.17
ORDER00881,CUST0098,5/25/2025,Canvas Print,32.25
ORDER00083,CUST0015,5/26/2025,Greeting Card,4.52
ORDER00275,CUST0042,5/26/2025,Canvas Print,47.54
ORDER00296,CUST0064,5/26/2025,Flyer,9.37
ORDER00705,CUST0012,5/30/2025,Canvas Print,34.08
ORDER00918,CUST0107,5/30/2025,Greeting Card,5.57
ORDER00986,CUST0164,5/30/2025,Photo Book,27.32
ORDER00082,CUST0184,5/31/2025,Greeting Card,5.34
ORDER00665,CUST0148,5/31/2025,Poster,12.37
