OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00290,CUST0268,4/1/2025,Canvas Print,47.85
ORDER00396,CUST0004,4/1/2025,Photo Book,28.76
ORDER00464,CUST0061,4/2/2025,Photo Book,25.75
ORDER00767,CUST0002,4/2/2025,Business Card,14.31
ORDER00891,CUST0143,4/2/2025,Photo Book,28.85
ORDER00367,CUST0288,4/3/2025,Photo Book,27.83
ORDER00836,CUST0223,4/3/2025,Poster,12.01
ORDER00687,CUST0073,4/4/2025,Photo Book,30
ORDER00092,CUST0115,4/5/2025,Greeting Card,5.66
ORDER00310,CUST0295,4/6/2025,Canvas Print,32.39
ORDER00333,CUST0217,4/6/2025,Flyer,8.09
ORDER00430,CUST0140,4/6/2025,Photo Book,27.37
ORDER00153,CUST0161,4/8/2025,Flyer,8.66
ORDER00192,CUST0288,4/8/2025,Greeting Card,5.99
ORDER00219,CUST0223,4/8/2025,Poster,16.9
ORDER00269,CUST0098,4/8/2025,Flyer,10.56
ORDER00503,CUST0186,4/8/2025,Greeting Card,5.45
ORDER00659,CUST0076,4/8/2025,Canvas Print,36.64
ORDER00838,CUST0178,4/8/2025,Canvas Print,33.87
ORDER00024,CUST0296,4/9/2025,Canvas Print,34.64
ORDER00280,CUST0153,4/9/2025,Photo Book,20.31
ORDER00298,CUST0193,4/9/2025,Flyer,8.28
ORDER00349,CUST0017,4/9/2025,Photo Book,25.26
ORDER00072,CUST0196,4/10/2025,Flyer,10.3
ORDER00769,CUST0041,4/10/2025,Poster,13.49
ORDER00105,CUST0023,4/11/2025,Greeting Card,5.5
ORDER00295,CUST0046,4/11/2025,Poster,12.26
ORDER00507,CUST0237,4/11/2025,Canvas Print,37.04
ORDER00594,CUST0084,4/11/2025,Flyer,11.61
ORDER00540,CUST0224,4/12/2025,Photo Book,24.81
ORDER00669,CUST0002,4/12/2025,Photo Book,22.04
ORDER00691,CUST0264,4/12/2025,Poster,15.25
ORDER00185,CUST0114,4/13/2025,Canvas Print,39.81
ORDER00616,CUST0072,4/13/2025,Business Card,9.73
ORDER00750,CUST0186,4/13/2025,Business Card,11.91
ORDER00800,CUST0107,4/14/2025,Business Card,11.76
ORDER00047,CUST0125,4/15/2025,Photo Book,24.7
ORDER00633,CUST0273,4/15/2025,Greeting Card,5.69
ORDER00514,CUST0059,4/16/2025,Business Card,13.49
ORDER00609,CUST0281,4/16/2025,Flyer,9.55
ORDER00297,CUST0130,4/17/2025,Greeting Card,5.27
ORDER00032,CUST0165,4/18/2025,Greeting Card,4.47
ORDER00160,CUST0049,4/18/2025,Business Card,11.42
ORDER00374,CUST0270,4/18/2025,Poster,17.64
ORDER00407,CUST0141,4/18/2025,Greeting Card,5
ORDER00610,CUST0280,4/18/2025,Greeting Card,5.15
ORDER00845,CUST0264,4/18/2025,Greeting Card,5.25
ORDER00149,CUST0152,4/19/2025,Photo Book,20.27
ORDER00121,CUST0296,4/20/2025,Photo Book,28.2
ORDER00189,CUST0264,4/20/2025,Poster,14.25
ORDER00217,CUST0165,4/20/2025,Canvas Print,48
ORDER00331,CUST0017,4/20/2025,Poster,12.91
ORDER00383,CUST0273,4/21/2025,Photo Book,29.43
ORDER00640,CUST0072,4/21/2025,Business Card,10.83
ORDER00658,CUST0041,4/21/2025,Canvas Print,32.73
ORDER00660,CUST0046,4/21/2025,Photo Book,29.31
ORDER00758,CUST0021,4/21/2025,Canvas Print,42.83
ORDER00979,CUST0152,4/21/2025,Greeting Card,5.73
ORDER00360,CUST0025,4/22/2025,Business Card,13.83
ORDER00607,CUST0162,4/22/2025,Flyer,10.49
ORDER00036,CUST0132,4/23/2025,Photo Book,22.72
ORDER00307,CUST0164,4/24/2025,Poster,16.34
ORDER00372,CUST0086,4/24/2025,Business Card,11.84
ORDER00544,CUST0113,4/25/2025,Business Card,14.38
ORDER00568,CUST0192,4/25/2025,Flyer,9.57
ORDER00728,CUST0035,4/25/2025,Photo Book,26.71
ORDER00737,CUST0020,4/25/2025,Photo Book,27.82
ORDER00506,CUST0040,4/26/2025,Greeting Card,5.69
ORDER00696,CUST0007,4/26/2025,Flyer,8.08
ORDER00138,CUST0244,4/27/2025,Poster,17.17
ORDER00509,CUST0262,4/27/2025,Photo Book,29.82
ORDER00195,CUST0087,4/28/2025,Flyer,10.43
ORDER00406,CUST0269,4/28/2025,Flyer,8.42
ORDER00490,CUST0124,4/28/2025,Business Card,12.5
ORDER00880,CUST0159,4/28/2025,Canvas Print,37.7
ORDER00936,CUST0136,4/28/2025,Greeting Card,5.57
ORDER00342,CUST0108,4/29/2025,Greeting Card,4.38
ORDER00588,CUST0285,4/29/2025,Flyer,11.23
ORDER00632,CUST0206,4/30/2025,Poster,17.42
