OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00472,CUST0269,2/1/2025,Canvas Print,43.82
ORDER00973,CUST0208,2/1/2025,Flyer,9.64
ORDER00343,CUST0172,2/2/2025,Flyer,10.88
ORDER00520,CUST0170,2/2/2025,Greeting Card,5.38
ORDER00764,CUST0087,2/2/2025,Canvas Print,37.01
ORDER00828,CUST0216,2/2/2025,Canvas Print,43.26
ORDER00954,CUST0084,2/2/2025,Photo Book,27.86
ORDER00144,CUST0017,2/3/2025,Business Card,13.24
ORDER00193,CUST0266,2/3/2025,Greeting Card,5.09
ORDER00450,CUST0218,2/3/2025,Poster,16.42
ORDER00494,CUST0090,2/3/2025,Flyer,10.33
ORDER00547,CUST0223,2/3/2025,Business Card,12.76
ORDER00234,CUST0234,2/4/2025,Flyer,10.4
ORDER00321,CUST0036,2/4/2025,Canvas Print,45.47
ORDER00230,CUST0082,2/5/2025,Poster,16.27
ORDER00738,CUST0152,2/5/2025,Poster,12.75
ORDER00793,CUST0276,2/5/2025,Canvas Print,44.56
ORDER00120,CUST0029,2/6/2025,Poster,17.95
ORDER00257,CUST0009,2/6/2025,Canvas Print,37.8
ORDER00272,CUST0075,2/6/2025,Flyer,9.25
ORDER00289,CUST0098,2/6/2025,Greeting Card,5.59
ORDER00336,CUST0042,2/6/2025,Poster,15.29
ORDER00344,CUST0102,2/6/2025,Canvas Print,45.87
ORDER00545,CUST0233,2/6/2025,Flyer,10.11
ORDER00580,CUST0058,2/6/2025,Canvas Print,44.55
ORDER00740,CUST0177,2/6/2025,Greeting Card,5.23
ORDER00013,CUST0273,2/7/2025,Photo Book,20.33
ORDER00478,CUST0105,2/7/2025,Poster,15.29
ORDER00488,CUST0261,2/7/2025,Greeting Card,5.42
ORDER00569,CUST0175,2/7/2025,Poster,17.13
ORDER00126,CUST0101,2/8/2025,Greeting Card,4.8
ORDER00202,CUST0054,2/8/2025,Flyer,10.13
ORDER00411,CUST0039,2/8/2025,Flyer,8.44
ORDER00510,CUST0216,2/8/2025,Canvas Print,40.44
ORDER00934,CUST0156,2/8/2025,Business Card,10.14
ORDER00001,CUST0259,2/10/2025,Canvas Print,45.41
ORDER00008,CUST0013,2/10/2025,Poster,13.51
ORDER00417,CUST0236,2/10/2025,Poster,15.31
ORDER00787,CUST0270,2/10/2025,Canvas Print,38.1
ORDER00284,CUST0027,2/11/2025,Flyer,10.58
ORDER00369,CUST0016,2/11/2025,Greeting Card,5.19
ORDER00532,CUST0158,2/12/2025,Greeting Card,5.24
ORDER00739,CUST0050,2/12/2025,Flyer,11.19
ORDER00066,CUST0231,2/13/2025,Business Card,10.93
ORDER00429,CUST0073,2/13/2025,Business Card,10.2
ORDER00804,CUST0120,2/13/2025,Flyer,11.92
ORDER00004,CUST0010,2/14/2025,Flyer,9.07
ORDER00868,CUST0220,2/14/2025,Canvas Print,39.01
ORDER00166,CUST0189,2/15/2025,Poster,17.08
ORDER00415,CUST0185,2/15/2025,Poster,17.15
ORDER00587,CUST0271,2/16/2025,Photo Book,25.15
ORDER00923,CUST0203,2/16/2025,Flyer,8.8
ORDER00823,CUST0206,2/18/2025,Flyer,10.78
ORDER00897,CUST0224,2/18/2025,Photo Book,25.14
ORDER00925,CUST0271,2/18/2025,Photo Book,24.08
ORDER00927,CUST0141,2/18/2025,Business Card,9.74
ORDER00929,CUST0290,2/18/2025,Photo Book,22.81
ORDER00262,CUST0246,2/19/2025,Business Card,12.49
ORDER00288,CUST0168,2/19/2025,Business Card,12.14
ORDER00779,CUST0163,2/19/2025,Greeting Card,5.21
ORDER00948,CUST0039,2/19/2025,Canvas Print,43.88
ORDER00196,CUST0055,2/20/2025,Business Card,10.33
ORDER00201,CUST0255,2/20/2025,Business Card,11.89
ORDER00203,CUST0249,2/20/2025,Photo Book,21.68
ORDER00206,CUST0067,2/20/2025,Greeting Card,4.71
ORDER00283,CUST0117,2/20/2025,Photo Book,26.33
ORDER00877,CUST0073,2/20/2025,Canvas Print,32.8
ORDER00989,CUST0175,2/20/2025,Poster,15.81
ORDER00362,CUST0268,2/21/2025,Poster,16.33
ORDER00535,CUST0258,2/21/2025,Business Card,12.22
ORDER00531,CUST0160,2/22/2025,Greeting Card,5.92
ORDER00178,CUST0019,2/23/2025,Photo Book,20.99
ORDER00281,CUST0076,2/23/2025,Poster,17.23
ORDER00346,CUST0275,2/23/2025,Greeting Card,5.64
ORDER00440,CUST0199,2/24/2025,Greeting Card,5.56
ORDER00654,CUST0267,2/24/2025,Flyer,9.41
ORDER00452,CUST0259,2/25/2025,Business Card,13.95
ORDER00770,CUST0111,2/25/2025,Photo Book,21.63
ORDER00972,CUST0152,2/25/2025,Flyer,9.84
ORDER00983,CUST0167,2/25/2025,Flyer,10.17
ORDER00722,CUST0150,2/26/2025,Canvas Print,34.27
ORDER00906,CUST0117,2/26/2025,Canvas Print,45.84
ORDER00279,CUST0165,2/27/2025,Poster,17.58
ORDER00433,CUST0061,2/27/2025,Greeting Card,5.36
ORDER00177,CUST0144,2/28/2025,Greeting Card,4.27
ORDER00863,CUST0287,2/28/2025,Business Card,10
