OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00102,CUST0038,1/1/2025,Flyer,11.6
ORDER00139,CUST0025,1/1/2025,Canvas Print,41.44
ORDER00398,CUST0161,1/1/2025,Greeting Card,4.56
ORDER00732,CUST0159,1/1/2025,Business Card,11.92
ORDER00095,CUST0282,1/3/2025,Business Card,10.83
ORDER00513,CUST0092,1/3/2025,Flyer,10.57
ORDER00724,CUST0059,1/3/2025,Poster,15.99
ORDER00159,CUST0156,1/4/2025,Canvas Print,40.28
ORDER00785,CUST0195,1/4/2025,Poster,12.43
ORDER00921,CUST0281,1/5/2025,Photo Book,27.85
ORDER00299,CUST0181,1/6/2025,Business Card,9.63
ORDER00920,CUST0124,1/6/2025,Poster,15
ORDER00459,CUST0177,1/7/2025,Canvas Print,39.28
ORDER00470,CUST0160,1/7/2025,Photo Book,23.32
ORDER00579,CUST0079,1/7/2025,Poster,17.01
ORDER00814,CUST0285,1/7/2025,Poster,15.78
ORDER00628,CUST0046,1/8/2025,Business Card,11.17
ORDER00947,CUST0074,1/8/2025,Business Card,10.82
ORDER00005,CUST0261,1/10/2025,Flyer,11.16
ORDER00765,CUST0298,1/10/2025,Greeting Card,5.87
ORDER00859,CUST0076,1/11/2025,Greeting Card,5
ORDER00603,CUST0147,1/12/2025,Photo Book,20.33
ORDER00282,CUST0087,1/13/2025,Greeting Card,5.05
ORDER00536,CUST0206,1/13/2025,Canvas Print,34.88
ORDER00786,CUST0118,1/13/2025,Business Card,10.59
ORDER00968,CUST0121,1/13/2025,Photo Book,24.62
ORDER00463,CUST0241,1/14/2025,Flyer,11.43
ORDER00571,CUST0204,1/14/2025,Business Card,11.09
ORDER00601,CUST0084,1/14/2025,Photo Book,26.35
ORDER00755,CUST0237,1/16/2025,Greeting Card,4.45
ORDER00856,CUST0026,1/16/2025,Photo Book,27.39
ORDER00888,CUST0129,1/16/2025,Photo Book,25.95
ORDER00664,CUST0092,1/18/2025,Canvas Print,41.45
ORDER00061,CUST0042,1/19/2025,Canvas Print,39.41
ORDER00104,CUST0200,1/19/2025,Business Card,11.14
ORDER00204,CUST0239,1/19/2025,Business Card,10.79
ORDER00806,CUST0156,1/19/2025,Photo Book,21.9
ORDER00711,CUST0147,1/20/2025,Poster,14.69
ORDER00752,CUST0125,1/21/2025,Flyer,11.85
ORDER00932,CUST0157,1/21/2025,Canvas Print,38.54
ORDER00563,CUST0193,1/22/2025,Photo Book,23.55
ORDER00754,CUST0131,1/23/2025,Canvas Print,47.24
ORDER00157,CUST0150,1/24/2025,Canvas Print,47.15
ORDER00466,CUST0062,1/24/2025,Greeting Card,4.77
ORDER00912,CUST0293,1/24/2025,Flyer,11.49
ORDER00012,CUST0101,1/26/2025,Canvas Print,40.4
ORDER00049,CUST0063,1/27/2025,Business Card,11.87
ORDER00454,CUST0005,1/27/2025,Flyer,10.9
ORDER00527,CUST0045,1/28/2025,Business Card,11.05
ORDER00530,CUST0023,1/28/2025,Canvas Print,47.19
ORDER00692,CUST0178,1/28/2025,Flyer,8.6
ORDER00993,CUST0161,1/28/2025,Greeting Card,4.62
ORDER00634,CUST0236,1/29/2025,Poster,14.41
ORDER00057,CUST0198,1/30/2025,Business Card,9.84
ORDER00389,CUST0098,1/30/2025,Canvas Print,32.68
ORDER00436,CUST0011,1/30/2025,Canvas Print,33.37
ORDER00844,CUST0129,1/30/2025,Flyer,11.09
ORDER00529,CUST0031,1/31/2025,Flyer,9.42
ORDER00837,CUST0184,1/31/2025,Greeting Card,4.35
